id,x_survey,y_survey,E,N,lon,lat
R_0_119,0,5837.68696754227,824154.081999705,481745.569624154,-72.0797978127228,4.3527433354931
R_0_120,0,5886.74316054683,824154.081999705,481794.625817159,-72.0797961031271,4.3531865564483
R_0_121,0,5935.79935355138,824154.081999705,481843.682010164,-72.0797943933556,4.35362977739762
R_0_122,0,5984.85554655594,824154.081999705,481892.738203168,-72.0797926834084,4.35407299834105
R_0_123,0,6033.9117395605,824154.081999705,481941.794396173,-72.0797909732855,4.35451621927861
R_0_124,0,6082.96793256505,824154.081999705,481990.850589177,-72.0797892629868,4.35495944021028
R_0_125,0,6132.02412556961,824154.081999705,482039.906782182,-72.0797875525123,4.35540266113606
R_0_126,0,6181.08031857417,824154.081999705,482088.962975186,-72.0797858418622,4.35584588205596
R_0_127,0,6230.13651157873,824154.081999705,482138.019168191,-72.0797841310362,4.35628910296997
R_0_128,0,6279.19270458328,824154.081999705,482187.075361196,-72.0797824200346,4.3567323238781
R_0_129,0,6328.24889758784,824154.081999705,482236.1315542,-72.0797807088572,4.35717554478035
R_0_130,0,6377.3050905924,824154.081999705,482285.187747205,-72.0797789975041,4.3576187656767
R_0_131,0,6426.36128359695,824154.081999705,482334.243940209,-72.0797772859752,4.35806198656717
R_0_132,0,6475.41747660151,824154.081999705,482383.300133214,-72.0797755742706,4.35850520745175
R_0_133,0,6524.47366960607,824154.081999705,482432.356326218,-72.0797738623902,4.35894842833044
R_0_134,0,6573.52986261062,824154.081999705,482481.412519223,-72.0797721503341,4.35939164920324
R_0_135,0,6622.58605561518,824154.081999705,482530.468712227,-72.0797704381022,4.35983487007015
R_0_136,0,6671.64224861974,824154.081999705,482579.524905232,-72.0797687256946,4.36027809093116
R_0_137,0,6720.69844162429,824154.081999705,482628.581098236,-72.0797670131113,4.36072131178629
R_0_138,0,6769.75463462885,824154.081999705,482677.637291241,-72.0797653003522,4.36116453263553
R_0_139,0,6818.81082763341,824154.081999705,482726.693484246,-72.0797635874174,4.36160775347887
R_0_140,0,6867.86702063796,824154.081999705,482775.74967725,-72.0797618743068,4.36205097431632
R_0_141,0,6916.92321364252,824154.081999705,482824.805870255,-72.0797601610205,4.36249419514788
R_0_142,0,6965.97940664708,824154.081999705,482873.862063259,-72.0797584475584,4.36293741597354
R_0_143,0,7015.03559965164,824154.081999705,482922.918256264,-72.0797567339206,4.36338063679331
R_0_144,0,7064.09179265619,824154.081999705,482971.974449268,-72.079755020107,4.36382385760718
R_0_145,0,7113.14798566075,824154.081999705,483021.030642273,-72.0797533061177,4.36426707841516
R_0_146,0,7162.20417866531,824154.081999705,483070.086835278,-72.0797515919526,4.36471029921724
R_0_147,0,7211.26037166986,824154.081999705,483119.143028282,-72.0797498776118,4.36515352001342
R_0_148,0,7260.31656467442,824154.081999705,483168.199221287,-72.0797481630952,4.3655967408037
R_0_149,0,7309.37275767898,824154.081999705,483217.255414291,-72.0797464484029,4.36603996158809
R_0_150,0,7358.42895068353,824154.081999705,483266.311607296,-72.0797447335348,4.36648318236658
R_0_151,0,7407.48514368809,824154.081999705,483315.3678003,-72.079743018491,4.36692640313916
R_0_152,0,7456.54133669265,824154.081999705,483364.423993305,-72.0797413032714,4.36736962390585
R_0_153,0,7505.5975296972,824154.081999705,483413.480186309,-72.0797395878761,4.36781284466664
R_0_154,0,7554.65372270176,824154.081999705,483462.536379314,-72.079737872305,4.36825606542152
R_0_155,0,7603.70991570632,824154.081999705,483511.592572318,-72.0797361565581,4.3686992861705
R_0_156,0,7652.76610871088,824154.081999705,483560.648765323,-72.0797344406356,4.36914250691358
R_0_263,0,12901.7787601985,824154.081999705,488809.661416811,-72.0795498212988,4.41656709219265
R_0_264,0,12950.834953203,824154.081999705,488858.717609815,-72.0795480863916,4.41701031229475
R_0_265,0,12999.8911462076,824154.081999705,488907.77380282,-72.0795463513087,4.41745353239087
R_0_266,0,13048.9473392121,824154.081999705,488956.829995824,-72.0795446160499,4.41789675248102
R_0_267,0,13098.0035322167,824154.081999705,489005.886188829,-72.0795428806153,4.41833997256521
R_0_268,0,13147.0597252212,824154.081999705,489054.942381833,-72.079541145005,4.41878319264342
R_0_269,0,13196.1159182258,824154.081999705,489103.998574838,-72.0795394092188,4.41922641271567
R_0_270,0,13245.1721112304,824154.081999705,489153.054767843,-72.0795376732568,4.41966963278194
R_0_271,0,13294.2283042349,824154.081999705,489202.110960847,-72.0795359371189,4.42011285284225
R_0_272,0,13343.2844972395,824154.081999705,489251.167153852,-72.0795342008053,4.42055607289658
R_0_273,0,13392.340690244,824154.081999705,489300.223346856,-72.0795324643158,4.42099929294494
R_0_274,0,13441.3968832486,824154.081999705,489349.279539861,-72.0795307276506,4.42144251298733
R_0_275,0,13490.4530762531,824154.081999705,489398.335732865,-72.0795289908095,4.42188573302374
R_0_276,0,13539.5092692577,824154.081999705,489447.39192587,-72.0795272537926,4.42232895305418
R_0_277,0,13588.5654622623,824154.081999705,489496.448118874,-72.0795255165999,4.42277217307864
R_0_278,0,13637.6216552668,824154.081999705,489545.504311879,-72.0795237792313,4.42321539309713
R_0_279,0,13686.6778482714,824154.081999705,489594.560504884,-72.079522041687,4.42365861310964
R_0_280,0,13735.7340412759,824154.081999705,489643.616697888,-72.0795203039668,4.42410183311618
R_0_281,0,13784.7902342805,824154.081999705,489692.672890893,-72.0795185660708,4.42454505311674
R_0_282,0,13833.846427285,824154.081999705,489741.729083897,-72.079516827999,4.42498827311132
R_0_283,0,13882.9026202896,824154.081999705,489790.785276902,-72.0795150897514,4.42543149309993
R_0_284,0,13931.9588132942,824154.081999705,489839.841469906,-72.0795133513279,4.42587471308255
R_0_285,0,13981.0150062987,824154.081999705,489888.897662911,-72.0795116127287,4.4263179330592
R_0_286,0,14030.0711993033,824154.081999705,489937.953855915,-72.0795098739536,4.42676115302986
R_0_287,0,14079.1273923078,824154.081999705,489987.01004892,-72.0795081350026,4.42720437299455
R_0_288,0,14128.1835853124,824154.081999705,490036.066241925,-72.0795063958759,4.42764759295325
R_0_289,0,14177.2397783169,824154.081999705,490085.122434929,-72.0795046565734,4.42809081290597
R_0_290,0,14226.2959713215,824154.081999705,490134.178627934,-72.079502917095,4.42853403285271
R_0_291,0,14275.3521643261,824154.081999705,490183.234820938,-72.0795011774407,4.42897725279347
R_0_292,0,14324.4083573306,824154.081999705,490232.291013943,-72.0794994376107,4.42942047272824
R_0_293,0,14373.4645503352,824154.081999705,490281.347206947,-72.0794976976049,4.42986369265703
R_0_294,0,14422.5207433397,824154.081999705,490330.403399952,-72.0794959574232,4.43030691257983
R_0_295,0,14471.5769363443,824154.081999705,490379.459592956,-72.0794942170657,4.43075013249665
R_1_0,294.627825494395,0,824448.7098252,475907.882656612,-72.077348303523,4.29998981456864
R_1_1,294.627825494395,49.0561930045569,824448.7098252,475956.938849617,-72.0773466133081,4.30043303516586
R_1_2,294.627825494395,98.1123860091138,824448.7098252,476005.995042621,-72.0773449229174,4.30087625575727
R_1_3,294.627825494395,147.168579013671,824448.7098252,476055.051235626,-72.0773432323509,4.30131947634287
R_1_4,294.627825494395,196.224772018228,824448.7098252,476104.10742863,-72.0773415416085,4.30176269692265
R_1_5,294.627825494395,245.280965022784,824448.7098252,476153.163621635,-72.0773398506903,4.30220591749662
R_1_6,294.627825494395,294.337158027341,824448.7098252,476202.219814639,-72.0773381595963,4.30264913806478
R_1_7,294.627825494395,343.393351031898,824448.7098252,476251.276007644,-72.0773364683264,4.30309235862712
R_1_8,294.627825494395,392.449544036455,824448.7098252,476300.332200649,-72.0773347768807,4.30353557918364
R_1_9,294.627825494395,441.505737041012,824448.7098252,476349.388393653,-72.0773330852591,4.30397879973435
R_1_10,294.627825494395,490.561930045569,824448.7098252,476398.444586658,-72.0773313934617,4.30442202027924
R_1_11,294.627825494395,539.618123050126,824448.7098252,476447.500779662,-72.0773297014885,4.30486524081831
R_1_12,294.627825494395,588.674316054683,824448.7098252,476496.556972667,-72.0773280093394,4.30530846135157
R_1_13,294.627825494395,637.73050905924,824448.7098252,476545.613165671,-72.0773263170145,4.30575168187901
R_1_14,294.627825494395,686.786702063796,824448.7098252,476594.669358676,-72.0773246245137,4.30619490240063
R_1_15,294.627825494395,735.842895068353,824448.7098252,476643.725551681,-72.0773229318371,4.30663812291643
R_1_16,294.627825494395,784.89908807291,824448.7098252,476692.781744685,-72.0773212389847,4.3070813434264
R_1_17,294.627825494395,833.955281077467,824448.7098252,476741.83793769,-72.0773195459564,4.30752456393056
R_1_18,294.627825494395,883.011474082024,824448.7098252,476790.894130694,-72.0773178527523,4.3079677844289
R_1_19,294.627825494395,932.067667086581,824448.7098252,476839.950323699,-72.0773161593723,4.30841100492141
R_1_20,294.627825494395,981.123860091138,824448.7098252,476889.006516703,-72.0773144658165,4.3088542254081
R_1_21,294.627825494395,1030.18005309569,824448.7098252,476938.062709708,-72.0773127720848,4.30929744588897
R_1_22,294.627825494395,1079.23624610025,824448.7098252,476987.118902712,-72.0773110781773,4.30974066636401
R_1_23,294.627825494395,1128.29243910481,824448.7098252,477036.175095717,-72.0773093840939,4.31018388683323
R_1_24,294.627825494395,1177.34863210937,824448.7098252,477085.231288722,-72.0773076898347,4.31062710729662
R_1_25,294.627825494395,1226.40482511392,824448.7098252,477134.287481726,-72.0773059953997,4.31107032775419
R_1_26,294.627825494395,1275.46101811848,824448.7098252,477183.343674731,-72.0773043007888,4.31151354820593
R_1_27,294.627825494395,1324.51721112304,824448.7098252,477232.399867735,-72.077302606002,4.31195676865184
R_1_28,294.627825494395,1373.57340412759,824448.7098252,477281.45606074,-72.0773009110394,4.31239998909193
R_1_29,294.627825494395,1422.62959713215,824448.7098252,477330.512253744,-72.077299215901,4.31284320952619
R_1_30,294.627825494395,1471.68579013671,824448.7098252,477379.568446749,-72.0772975205867,4.31328642995462
R_1_31,294.627825494395,1520.74198314126,824448.7098252,477428.624639753,-72.0772958250965,4.31372965037722
R_1_32,294.627825494395,1569.79817614582,824448.7098252,477477.680832758,-72.0772941294305,4.31417287079399
R_1_33,294.627825494395,1618.85436915038,824448.7098252,477526.737025763,-72.0772924335887,4.31461609120493
R_1_34,294.627825494395,1667.91056215493,824448.7098252,477575.793218767,-72.077290737571,4.31505931161004
R_1_35,294.627825494395,1716.96675515949,824448.7098252,477624.849411772,-72.0772890413774,4.31550253200932
R_1_36,294.627825494395,1766.02294816405,824448.7098252,477673.905604776,-72.077287345008,4.31594575240276
R_1_37,294.627825494395,1815.0791411686,824448.7098252,477722.961797781,-72.0772856484627,4.31638897279037
R_1_38,294.627825494395,1864.13533417316,824448.7098252,477772.017990785,-72.0772839517416,4.31683219317215
R_1_39,294.627825494395,1913.19152717772,824448.7098252,477821.07418379,-72.0772822548446,4.3172754135481
R_1_40,294.627825494395,1962.24772018228,824448.7098252,477870.130376794,-72.0772805577718,4.31771863391821
R_1_41,294.627825494395,2011.30391318683,824448.7098252,477919.186569799,-72.0772788605231,4.31816185428248
R_1_42,294.627825494395,2060.36010619139,824448.7098252,477968.242762804,-72.0772771630986,4.31860507464092
R_1_43,294.627825494395,2109.41629919595,824448.7098252,478017.298955808,-72.0772754654982,4.31904829499352
R_1_44,294.627825494395,2158.4724922005,824448.7098252,478066.355148813,-72.077273767722,4.31949151534029
R_1_45,294.627825494395,2207.52868520506,824448.7098252,478115.411341817,-72.0772720697699,4.31993473568122
R_1_46,294.627825494395,2256.58487820962,824448.7098252,478164.467534822,-72.0772703716419,4.3203779560163
R_1_47,294.627825494395,2305.64107121417,824448.7098252,478213.523727826,-72.0772686733381,4.32082117634555
R_1_48,294.627825494395,2354.69726421873,824448.7098252,478262.579920831,-72.0772669748584,4.32126439666897
R_1_49,294.627825494395,2403.75345722329,824448.7098252,478311.636113835,-72.0772652762028,4.32170761698654
R_1_50,294.627825494395,2452.80965022784,824448.7098252,478360.69230684,-72.0772635773714,4.32215083729827
R_1_51,294.627825494395,2501.8658432324,824448.7098252,478409.748499845,-72.0772618783642,4.32259405760416
R_1_52,294.627825494395,2550.92203623696,824448.7098252,478458.804692849,-72.077260179181,4.3230372779042
R_1_53,294.627825494395,2599.97822924152,824448.7098252,478507.860885854,-72.0772584798221,4.32348049819841
R_1_54,294.627825494395,2649.03442224607,824448.7098252,478556.917078858,-72.0772567802872,4.32392371848677
R_1_55,294.627825494395,2698.09061525063,824448.7098252,478605.973271863,-72.0772550805765,4.32436693876929
R_1_56,294.627825494395,2747.14680825519,824448.7098252,478655.029464867,-72.0772533806899,4.32481015904596
R_1_57,294.627825494395,2796.20300125974,824448.7098252,478704.085657872,-72.0772516806275,4.32525337931679
R_1_58,294.627825494395,2845.2591942643,824448.7098252,478753.141850876,-72.0772499803892,4.32569659958177
R_1_59,294.627825494395,2894.31538726886,824448.7098252,478802.198043881,-72.077248279975,4.32613981984091
R_1_60,294.627825494395,2943.37158027341,824448.7098252,478851.254236886,-72.077246579385,4.3265830400942
R_1_61,294.627825494395,2992.42777327797,824448.7098252,478900.31042989,-72.0772448786191,4.32702626034164
R_1_62,294.627825494395,3041.48396628253,824448.7098252,478949.366622895,-72.0772431776773,4.32746948058324
