id,E,N,lon,lat
S_0_81,828127.633633074,475907.88265661214,-72.04423795017695,4.299861856583724
S_0_82,828176.6898260792,475907.88265661214,-72.0437964506507,4.299860140638145
S_0_83,828225.7460190832,475907.88265661214,-72.0433549513023,4.299858424437183
S_0_84,828274.8022120863,475907.8826566121,-72.04291345213178,4.299856707980837
S_0_85,828323.8584050927,475907.8826566123,-72.04247195313914,4.299854991269112
S_0_86,828372.9145980971,475907.88265661214,-72.04203045432445,4.299853274302
S_0_87,828421.9707911022,475907.8826566121,-72.04158895568769,4.299851557079507
S_0_88,828471.0269841052,475907.88265661214,-72.04114745722893,4.299849839601636
S_0_89,828520.0831771106,475907.88265661214,-72.04070595894817,4.299848121868384
S_0_90,828569.1393701159,475907.88265661226,-72.04026446084542,4.299846403879752
S_0_91,828618.195563118,475907.88265661214,-72.03982296292077,4.299844685635738
S_0_92,828667.2517561228,475907.88265661214,-72.03938146517417,4.299842967136347
S_0_93,828716.307949129,475907.8826566121,-72.03893996760569,4.2998412483815756
S_0_94,828765.3641421343,475907.88265661214,-72.03849847021534,4.299839529371429
S_0_95,828814.4203351381,475907.88265661226,-72.03805697300317,4.299837810105903
S_0_96,828863.4765281423,475907.88265661214,-72.03761547596919,4.299836090585001
S_0_97,828912.532721147,475907.8826566121,-72.03717397911342,4.29983437080872
S_0_98,828961.5889141525,475907.88265661226,-72.03673248243588,4.299832650777068
S_0_99,829010.6451071571,475907.88265661214,-72.03629098593663,4.299830930490035
S_0_100,829059.7013001611,475907.88265661226,-72.03584948961567,4.299829209947632
S_0_101,829108.757493166,475907.88265661214,-72.03540799347304,4.299827489149851
S_0_102,829157.8136861706,475907.88265661214,-72.03496649750875,4.299825768096697
S_0_103,829206.869879175,475907.88265661214,-72.03452500172284,4.29982404678817
S_0_104,829255.9260721791,475907.8826566121,-72.03408350611534,4.299822325224269
S_0_105,829304.9822651832,475907.88265661214,-72.03364201068626,4.2998206034049975
