id,E,N,lon,lat
R_0_281,824154.0819997066,489692.6728908924,-72.0795185660708,4.424545053116739
R_0_282,824154.0819997056,489741.72908389685,-72.079516827999,4.424988273111321
R_0_283,824154.0819997033,489790.7852769018,-72.0795150897514,4.4254314930999294
R_0_284,824154.0819997081,489839.84146990604,-72.0795133513279,4.42587471308255
R_0_285,824154.0819997002,489888.89766291087,-72.07951161272871,4.4263179330592
R_0_286,824154.0819997006,489937.9538559148,-72.0795098739536,4.42676115302986
R_0_287,824154.081999711,489987.01004892,-72.0795081350026,4.42720437299455
R_0_288,824154.081999707,490036.06624192424,-72.0795063958759,4.427647592953251
R_0_289,824154.0819996984,490085.12243492855,-72.0795046565734,4.428090812905969
R_0_290,824154.0819997009,490134.1786279331,-72.079502917095,4.428534032852709
R_0_291,824154.08199971,490183.23482093826,-72.0795011774407,4.42897725279347
R_0_292,824154.0819997061,490232.29101394233,-72.0794994376107,4.429420472728239
R_0_293,824154.0819997003,490281.34720694704,-72.0794976976049,4.429863692657029
R_0_294,824154.081999701,490330.4033999514,-72.0794959574232,4.430306912579831
R_0_295,824154.0819997011,490379.45959295594,-72.0794942170657,4.43075013249665
R_1_0,824448.7098251967,475907.8826566121,-72.077348303523,4.29998981456864
R_1_1,824448.7098252012,475956.9388496166,-72.0773466133081,4.3004330351658595
R_1_2,824448.7098252014,476005.99504262104,-72.0773449229174,4.300876255757269
R_1_3,824448.7098251986,476055.05123562616,-72.0773432323509,4.301319476342871
R_1_4,824448.7098252024,476104.10742863023,-72.0773415416085,4.30176269692265
R_1_5,824448.709825203,476153.1636216349,-72.0773398506903,4.30220591749662
R_1_6,824448.709825199,476202.21981464,-72.0773381595963,4.302649138064781
R_1_7,824448.7098252015,476251.2760076444,-72.0773364683264,4.30309235862712
R_1_8,824448.7098251979,476300.33220064855,-72.0773347768807,4.30353557918364
R_1_9,824448.7098252034,476349.38839365327,-72.0773330852591,4.30397879973435
R_1_10,824448.709825204,476398.4445866577,-72.0773313934617,4.3044220202792385
R_1_11,824448.7098252012,476447.5007796618,-72.0773297014885,4.30486524081831
R_1_12,824448.709825203,476496.55697266693,-72.0773280093394,4.30530846135157
R_1_13,824448.7098252013,476545.61316567153,-72.0773263170145,4.30575168187901
R_1_14,824448.7098252057,476594.6693586765,-72.0773246245137,4.306194902400631
R_1_15,824448.7098252035,476643.72555168107,-72.0773229318371,4.30663812291643
R_1_16,824448.7098252005,476692.78174468473,-72.0773212389847,4.307081343426401
R_1_17,824448.7098252005,476741.8379376898,-72.0773195459564,4.30752456393056
R_1_18,824448.7098251965,476790.8941306947,-72.0773178527523,4.3079677844289
R_1_19,824448.7098251984,476839.9503236989,-72.0773161593723,4.30841100492141
R_1_20,824448.7098251963,476889.0065167034,-72.0773144658165,4.3088542254080995
R_1_21,824448.7098252014,476938.0627097083,-72.0773127720848,4.309297445888971
R_1_22,824448.709825198,476987.1189027124,-72.0773110781773,4.309740666364011
R_1_23,824448.7098252032,477036.1750957171,-72.0773093840939,4.31018388683323
R_1_24,824448.7098252028,477085.2312887215,-72.0773076898347,4.310627107296621
R_1_25,824448.7098251964,477134.28748172626,-72.0773059953997,4.311070327754191
R_1_26,824448.709825197,477183.34367473057,-72.0773043007888,4.31151354820593
R_1_27,824448.7098252017,477232.3998677348,-72.077302606002,4.31195676865184
R_1_28,824448.7098252018,477281.45606073964,-72.0773009110394,4.312399989091931
R_1_29,824448.7098251975,477330.5122537443,-72.077299215901,4.31284320952619
R_1_30,824448.7098251968,477379.5684467488,-72.0772975205867,4.313286429954618
R_1_31,824448.7098252015,477428.62463975337,-72.0772958250965,4.31372965037722
R_1_32,824448.7098252014,477477.68083275785,-72.0772941294305,4.31417287079399
R_1_33,824448.7098251965,477526.7370257622,-72.0772924335887,4.314616091204929
R_1_34,824448.7098251953,477575.79321876704,-72.077290737571,4.31505931161004
R_1_35,824448.7098252005,477624.8494117718,-72.0772890413774,4.315502532009319
R_1_36,824448.7098251993,477673.90560477576,-72.077287345008,4.315945752402761
R_1_37,824448.7098252028,477722.96179778024,-72.0772856484627,4.31638897279037
R_1_38,824448.7098252014,477772.0179907849,-72.0772839517416,4.316832193172149
R_1_39,824448.7098252048,477821.07418379013,-72.0772822548446,4.3172754135481
R_1_40,824448.7098252018,477870.1303767946,-72.0772805577718,4.31771863391821
R_1_41,824448.7098252046,477919.18656979874,-72.0772788605231,4.318161854282481
R_1_42,824448.7098251993,477968.2427628035,-72.0772771630986,4.318605074640921
R_1_43,824448.7098252,478017.29895580775,-72.0772754654982,4.319048294993521
R_1_44,824448.709825194,478066.3551488127,-72.077273767722,4.319491515340289
R_1_45,824448.7098251936,478115.4113418176,-72.0772720697699,4.319934735681219
R_1_46,824448.7098251977,478164.4675348213,-72.0772703716419,4.3203779560163
R_1_47,824448.7098251947,478213.5237278258,-72.0772686733381,4.32082117634555
R_1_48,824448.7098251961,478262.57992083137,-72.0772669748584,4.321264396668971
R_1_49,824448.7098252032,478311.63611383585,-72.0772652762028,4.32170761698654
R_1_50,824448.709825203,478360.69230684044,-72.0772635773714,4.32215083729827
R_1_51,824448.7098251956,478409.7484998451,-72.0772618783642,4.322594057604161
R_1_52,824448.7098252035,478458.8046928489,-72.077260179181,4.3230372779042
R_1_53,824448.7098251929,478507.8608858539,-72.0772584798221,4.323480498198409
R_1_54,824448.709825199,478556.9170788586,-72.0772567802872,4.32392371848677
R_1_55,824448.7098251975,478605.9732718631,-72.0772550805765,4.324366938769289
R_1_56,824448.7098252014,478655.0294648675,-72.0772533806899,4.324810159045961
R_1_57,824448.7098251975,478704.085657872,-72.0772516806275,4.3252533793167895
R_1_58,824448.7098251975,478753.1418508762,-72.0772499803892,4.32569659958177
R_1_59,824448.709825201,478802.1980438809,-72.077248279975,4.326139819840909
R_1_60,824448.7098251969,478851.25423688564,-72.077246579385,4.326583040094201
R_1_61,824448.7098251977,478900.31042988965,-72.0772448786191,4.327026260341639
R_1_62,824448.7098252006,478949.3666228947,-72.0772431776773,4.32746948058324
R_1_63,824448.709825197,478998.4228158997,-72.0772414765597,4.327912700818991
R_1_64,824448.7098251996,479047.47900890314,-72.0772397752662,4.328355921048879
R_1_65,824448.7098252012,479096.535201908,-72.0772380737968,4.328799141272929
R_1_66,824448.7098251977,479145.5913949127,-72.0772363721516,4.32924236149113
R_1_67,824448.7098251986,479194.6475879174,-72.0772346703305,4.329685581703479
R_1_68,824448.7098252014,479243.7037809225,-72.0772329683335,4.3301288019099795
R_1_69,824448.7098251975,479292.7599739266,-72.0772312661607,4.330572022110621
R_1_70,824448.7098251963,479341.81616693083,-72.077229563812,4.331015242305409
R_1_71,824448.7098251984,479390.8723599355,-72.0772278612874,4.331458462494351
R_1_72,824448.7098252033,479439.92855294066,-72.0772261585869,4.331901682677439
R_1_73,824448.7098251996,479488.9847459452,-72.0772244557106,4.33234490285467
R_1_74,824448.7098252018,479538.04093894915,-72.0772227526584,4.33278812302604
R_1_75,824448.7098251923,479587.09713195363,-72.0772210494304,4.333231343191561
R_1_76,824448.7098251999,479636.153324959,-72.0772193460264,4.33367456335123
R_1_77,824448.7098251987,479685.20951796276,-72.0772176424466,4.33411778350503
R_1_78,824448.7098252,479734.2657109673,-72.0772159386909,4.33456100365298
R_1_79,824448.709825204,479783.32190397166,-72.0772142347593,4.335004223795069
R_1_80,824448.7098251977,479832.3780969769,-72.0772125306519,4.33544744393131
R_1_81,824448.7098251965,479881.434289981,-72.0772108263686,4.33589066406168
R_1_82,824448.7098251978,479930.49048298615,-72.0772091219094,4.3363338841862005
R_1_83,824448.7098252027,479979.5466759903,-72.0772074172743,4.33677710430485
R_1_84,824448.7098251972,480028.6028689945,-72.0772057124634,4.337220324417641
R_1_85,824448.7098251939,480077.659062,-72.0772040074766,4.33766354452458
R_1_86,824448.7098251926,480126.71525500447,-72.0772023023139,4.33810676462565
R_1_87,824448.7098251949,480175.7714480084,-72.07720059697532,4.338549984720851
R_1_88,824448.7098252007,480224.82764101384,-72.0771988914608,4.3389932048102
R_1_89,824448.7098251955,480273.88383401814,-72.0771971857705,4.33943642489368
R_1_90,824448.7098252036,480322.9400270223,-72.0771954799042,4.33987964497129
R_1_91,824448.7098251923,480371.99622002675,-72.0771937738622,4.340322865043039
R_1_92,824448.7098251957,480421.052413032,-72.0771920676442,4.34076608510893
R_1_93,824448.7098251993,480470.1086060356,-72.0771903612503,4.341209305168941
R_1_94,824448.7098251948,480519.16479903995,-72.0771886546806,4.341652525223089
R_1_95,824448.7098252017,480568.22099204524,-72.0771869479349,4.342095745271378
R_1_96,824448.7098252017,480617.27718504914,-72.0771852410134,4.34253896531379
R_1_97,824448.7098252018,480666.3333780541,-72.077183533916,4.34298218535034
R_1_98,824448.7098252033,480715.38957105903,-72.0771818266427,4.343425405381022
R_1_99,824448.7098251963,480764.4457640637,-72.0771801191936,4.343868625405831
R_1_100,824448.7098252019,480813.50195706735,-72.0771784115685,4.344311845424759
R_1_101,824448.7098251977,480862.5581500723,-72.0771767037676,4.3447550654378295
R_1_102,824448.709825196,480911.6143430774,-72.0771749957908,4.34519828544503
R_1_103,824448.709825194,480960.6705360817,-72.0771732876381,4.345641505446349
R_1_104,824448.7098251944,481009.7267290864,-72.0771715793095,4.346084725441801
R_1_105,824448.7098251976,481058.7829220902,-72.077169870805,4.34652794543137
R_1_106,824448.7098252003,481107.8391150957,-72.0771681621246,4.34697116541508
R_1_107,824448.7098252038,481156.89530809934,-72.0771664532683,4.3474143853928995
R_1_108,824448.7098251983,481205.95150110475,-72.0771647442362,4.347857605364861
R_1_109,824448.7098251921,481255.0076941085,-72.0771630350282,4.34830082533093
R_1_110,824448.7098252011,481304.0638871129,-72.0771613256442,4.348744045291129
R_1_111,824448.7098251979,481353.1200801183,-72.0771596160844,4.34918726524546
